Time(sec),Used(GB),Percentage
2.8124072551727295,10.791,68.3
5.882386684417725,10.787,68.3
8.719037055969238,10.787,68.3
11.409128427505493,10.792,68.3
14.093822479248047,10.792,68.3
16.91024160385132,10.785,68.2
19.67441415786743,10.758,68.1
22.409623622894287,10.750,68.0
25.14472794532776,10.747,68.0
27.835778951644897,10.751,68.0
30.555157899856567,10.758,68.1
33.25835680961609,10.757,68.1
36.004555225372314,10.749,68.0
38.75705862045288,10.751,68.0
41.48946976661682,10.737,67.9
44.221407413482666,10.744,68.0
46.91408371925354,10.746,68.0
49.6037335395813,10.748,68.0
52.33869457244873,10.744,68.0
55.074570417404175,10.744,68.0
57.513269662857056,10.738,67.9
60.01001739501953,10.751,68.0
62.43496513366699,10.744,68.0
64.97025752067566,10.746,68.0
67.42024540901184,10.738,67.9
69.88235378265381,10.741,68.0
72.36169505119324,10.741,68.0
74.8005588054657,10.740,68.0
