,Time(sec),Used(GB),Percentage
0,1.3831348419189453,10.853,69.0
1,3.0688350200653076,10.852,69.0
2,4.856939315795898,10.844,68.9
3,6.6198084354400635,10.849,69.0
4,8.388057470321655,10.848,69.0
5,10.161612510681152,10.844,68.9
6,11.896278142929077,10.845,68.9
7,13.820668697357178,10.847,69.0
8,16.692256689071655,10.880,69.2
9,18.762756824493408,10.883,69.2
10,20.465723037719727,10.879,69.2
11,22.18848156929016,10.879,69.2
12,23.917484521865845,10.872,69.1
13,25.630950927734375,10.872,69.1
14,27.36843752861023,10.874,69.1
15,29.087212562561035,10.880,69.2
16,30.722165822982788,10.873,69.1
17,32.458739042282104,10.878,69.2
18,34.16597509384155,10.880,69.2
19,35.883649587631226,10.876,69.1
20,37.62927508354187,10.878,69.2
21,39.36361122131348,10.939,69.6
22,41.07552886009216,10.944,69.6
23,42.83471918106079,10.946,69.6
24,44.57314848899841,10.946,69.6
25,46.32383322715759,10.764,68.4
